id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
tron,11,TRX,TRON,86111279999.7685000000000000,,19657560710.6890580251595525,351439663.9360357204853042,0.2282809024641360,-0.6638998016796025,0.2299120305589240,https://tronscan.org/#/
wrapped-bitcoin,12,WBTC,Wrapped Bitcoin,129300.7689652200000000,,12616374271.1714266710663302,25641260.6497532051028792,97573.8533663712803684,-1.0272167638454804,96847.2076733489674491,https://etherscan.io/token/0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
chainlink,13,LINK,Chainlink,638099970.4527867000000000,,12289370273.7919499557384155,256104005.5707305791661725,19.2593180423932427,-1.6870321094679195,18.8723160115411198,https://etherscan.io/token/0x514910771af9ca656af840dff83e8264ecf986ca
avalanche,14,AVAX,Avalanche,411798379.7090393000000000,715748719.0000000000000000,10447203424.3844584327642875,134933621.3522706144980509,25.3697050283831752,-3.3387064084057651,25.1334929534382715,https://avascan.info/
stellar,15,XLM,Stellar,30581513812.2005650000000000,50001806812.0000000000000000,10099409670.1251746160053013,146702086.1416644615851745,0.3302455768587882,-1.4771029322812101,0.3229885208570066,https://dashboard.stellar.org/
sui,16,SUI,Sui,3089707194.5088880000000000,10000000000.0000000000000000,10007797630.2909443595805590,725774422.0942841203630066,3.2390763914707114,,3.1907916488805532,https://suiexplorer.com/
unus-sed-leo,17,LEO,UNUS SED LEO,924159938.9000000000000000,,9101730964.8483922374383692,110099.7528097343673207,9.8486534437771789,0.0228687802727169,9.7383562018877130,https://eospark.com/account/bitfinexleo1
shiba-inu,18,SHIB,Shiba Inu,589253942085318.0000000000000000,,8983747166.7535086367031562,157108005.1240847821847786,0.0000152459687159,-3.4176689927347813,0.0000151246789913,https://etherscan.io/token/0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce
hyperliquid,19,HYPE,Hyperliquid,333928180.0000000000000000,1000000000.0000000000000000,8013724686.1864526843265600,26273703.3262306128901501,23.9983480465363920,,23.5765392018496514,https://app.hyperliquid.xyz/explorer/token/0x0d01dc56dcaaca66ad901c959b4011ec
litecoin,20,LTC,Litecoin,75505780.8040892000000000,84000000.0000000000000000,7903748360.4865803041234638,381725306.8846089946164006,104.6773939202617120,-2.4532040633891118,103.3036425567386249,http://explorer.litecoin.net/chain/Litecoin
polkadot,21,DOT,Polkadot,1522267060.0000000000000000,,7139240628.0792963158878400,105364996.7059815820800044,4.6898739489766640,-1.0046307064595810,4.5882536358241815,https://polkascan.io/polkadot
bitcoin-cash,22,BCH,Bitcoin Cash,19825921.8750000000000000,21000000.0000000000000000,6473462192.7881109470788359,66684565.2836091335731880,326.5150661645140245,-0.5745462678987861,321.0219171733993823,https://blockchair.com/bitcoin-cash/blocks
uniswap,23,UNI,Uniswap,600518037.7100000000000000,,5488589657.2320929948662446,115841112.1667850663357259,9.1397581963768137,-1.6249346948115110,9.0615238279889750,https://etherscan.io/token/0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
multi-collateral-dai,24,DAI,Dai,5365382702.6648720000000000,,5366306812.4199080857230911,146486110.3079542386453736,1.0001722355712999,0.1087253235321379,0.9998411499194450,https://etherscan.io/token/0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359
ondo-finance,25,ONDO,Ondo,3159107529.0000000000000000,,4657260879.4640257667423862,592686279.9615165828178156,1.4742330980225478,,1.3815845173501608,https://etherscan.io/token/0xfAbA6f8e4a5E8Ab82F62fe7C39859FA577269BE3
monero,26,XMR,Monero,18446744.0737095500000000,,4192912795.8491330673759612,32675082.9165965535389302,227.2982581150950404,1.7302478702736181,224.3879273984825077,http://moneroblocks.info/
pepe,27,PEPE,Pepe,420689899999994.8000000000000000,420690000000000.0000000000000000,4006330070.4189256991620474,470127675.8496632074802676,0.0000095232380678,,0.0000093645049848,https://etherscan.io/token/0x6982508145454ce325ddbe47a25d4ec3d2311933
near-protocol,28,NEAR,Near Protocol,1178506601.0000000000000000,,3869551609.9139643178065067,93035613.2065943250611192,3.2834365175642867,-0.7109897955904185,3.2205425370873377,https://explorer.nearprotocol.com/
aave,29,AAVE,Aave,15061794.6041248000000000,,3783799116.1681294155288717,164253159.1971033253221188,251.2183451985133289,-3.5914825925318151,247.9966008490468616,https://etherscan.io/token/0x80fB784B7eD66730e8b1DBd9820aFD29931aab03
official-trump,30,TRUMP,Trump Official,199999627.5539700000000000,999999993.4500000000000000,3536155763.4094402612635762,48732756.4118581131980105,17.6808117427879052,-3.7032565748661309,17.6904250488937436,https://solscan.io/token/6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN
hedera-hashgraph,31,HBAR,Hedera Hashgraph,14832756028.0000000000000000,50000000000.0000000000000000,3514403554.8697917363886492,132276555.5864555287855524,0.2369353037450089,-3.0416542302691230,0.2346685943677587,https://hash-hash.info/
aptos,32,APT,Aptos,574293963.9572402000000000,,3378193053.1009464973222874,115846803.2295453654932035,5.8823412139370391,,5.8030735894045793,https://explorer.aptoslabs.com/
internet-computer,33,ICP,Internet Computer,480465846.2111215000000000,,3331176103.1407864186610014,36814257.3307556125252434,6.9332214337604224,-1.4213759568283354,6.8295216774687140,https://www.dfinityexplorer.org/#/
